"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dr343","Northern Territory Museum and Art Gallery provider for OZCAM","10.15468/giro3a","Northern Territory Museum and Art Gallery, https://www.magnt.net.au/","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au))","For more information: https://collections.ala.org.au/public/show/dr343","","","","86"
"dr346","South Australian Museum Adelaide provider for OZCAM","10.15468/wz4rrh","South Australian Museum, http://www.samuseum.sa.gov.au/","CC-BY","For more information: https://collections.ala.org.au/public/show/dr346","","","","73"
"dp3903","BioCollect","","Records provided by BioCollect, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp3903","","","","18"
"dr1411","iNaturalist Australia","","iNaturalist.org: iNaturalist Research-grade Observations. doi:10.15468/ab3s5x
Accessed via http://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7 on 2017-03-16","","For more information: https://collections.ala.org.au/public/show/dr1411","","","","522"
"dr30432","UMZC Zoological Specimens","10.15468/pjmjvn","UMZC","CC BY","For more information: https://collections.ala.org.au/public/show/dr30432","","","","4"
"dr340","Australian Museum provider for OZCAM","10.15468/e7susi","Records provided by Australian Museum provider for OZCAM, accessed through ALA website.","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au)) Australian Museum, http://australianmuseum.net.au/ Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0)","For more information: https://collections.ala.org.au/public/show/dr340","","","","138"
"in22","South Australian Museum","","Records provided by South Australian Museum, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in22","","","","73"
"dr342","Museums Victoria provider for OZCAM","10.15468/lp1ctu","Museums Victoria, http://museumvictoria.com.au/","CC-BY","For more information: https://collections.ala.org.au/public/show/dr342","","","","48"
"dr341","Australian National Wildlife Collection provider for OZCAM","10.15468/gscnac","Australian National Wildlife Collection, CSIRO, http://www.csiro.au/","CC-BY Data is available under the Creative Commons Attribution 3.0 Australia license.  Sound files associated with specimen records are not available for download and re-use. Please contact the Australian National Wildlife Collection for more information.","For more information: https://collections.ala.org.au/public/show/dr341","","","","38"
"dr30671","The reptiles and amphibians collection (RA) of the Muséum national d'Histoire Naturelle (MNHN - Paris)","10.15468/whdzq3","MNHN, Chagnoux S (2025). The reptiles and amphibians collection (RA) of the Muséum national d'Histoire Naturelle (MNHN - Paris). Version 55.404. MNHN - Museum national d'Histoire naturelle. Occurrence dataset https://doi.org/10.15468/whdzq3 accessed via GBIF.org on 2025-03-11.","CC BY","For more information: https://collections.ala.org.au/public/show/dr30671","","","","13"
"dr348","Western Australian Museum provider for OZCAM","10.15468/5qt0dm","Records provided by Western Australian Museum provider for OZCAM, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) Western Australian Museum, http://www.museum.wa.gov.au/","For more information: https://collections.ala.org.au/public/show/dr348","","","","62"
"dr9662","Brisbane City Council","10.15468/ljfjwq","Brisbane City Council (https://www.brisbane.qld.gov.au/)","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au))","For more information: https://collections.ala.org.au/public/show/dr9662","","","","5"
"dr14002","Northern Territory WildWatch","10.15468/jd2c7e","Incidental Fauna Observations: Northern Territory Govenment (2020) Incidental Fauna Observations dataset
","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au))","For more information: https://collections.ala.org.au/public/show/dr14002","","","","18"
"co10","Australian Museum Herpetology Collection","","Records provided by Australian Museum Herpetology Collection, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co10","","","","138"
"dp42","Global Biodiversity Information Facility","","Records provided by Global Biodiversity Information Facility, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp42","","","","135"
"dr22501","Natural History Museum (London) Collection Specimens","10.5519/qd.yboalfmf","https://doi.org/10.5519/qd.yboalfmf","Creative Commons Zero (CC0)","For more information: https://collections.ala.org.au/public/show/dr22501","","","","29"
"co140","Museum and Art Gallery of the Northern Territory Reptile Collection","","Records provided by Museum and Art Gallery of the Northern Territory Reptile Collection, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co140","","","","86"
"dp2048","ClimateWatch","","Records provided by ClimateWatch, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp2048","","","","15"
"dr22500","NMNH Extant Specimen Records (USNM, US)","10.15468/hnhrg3","Orrell T, Informatics and Data Science Center - Digital Stewardship (2024). NMNH Extant Specimen Records (USNM, US). Version 1.89. National Museum of Natural History, Smithsonian Institution. Occurrence dataset https://doi.org/10.15468/hnhrg3 accessed via GBIF.org on 2024-12-19.","Creative Commons Zero (CC0)","For more information: https://collections.ala.org.au/public/show/dr22500","","","","8"
"in4","Australian Museum","","Records provided by Australian Museum, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in4","","","","138"
"in6","Commonwealth Scientific and Industrial Research Organisation","","Records provided by Commonwealth Scientific and Industrial Research Organisation, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in6","","","","38"
"dr30008","Field Museum of Natural History (Zoology) Amphibian and Reptile Collection","10.15468/u2pzhj","Grant S, Webbink K, Resetar A (2023). Field Museum of Natural History (Zoology) Amphibian and Reptile Collection. Version 12.9. Field Museum. Occurrence dataset https://doi.org/10.15468/u2pzhj accessed via GBIF.org on 2025-02-12.","Creative Commons Zero (CC0)","For more information: https://collections.ala.org.au/public/show/dr30008","","","","6"
"dr893","BowerBird","","Records provided by BowerBird, accessed through ALA website.","Creative Commons - license at record level (Creative Commons - license at record level) The rights of material uploaded by users to the BowerBird website are owned by those users. Each user will nominate the type of license that can apply to their content - BowerBird encourages the Creative Commons License but users have the right to deny use of their content. Please respect the license wishes of the user's content.

For all other material, including the content, design and source code of BowerBird other than user-contributed material, is under the Open Source and Creative Commons licenses. You may use this material.","For more information: https://collections.ala.org.au/public/show/dr893","","","","2"
"dr30648","NMNH Material Samples (USNM)","10.15468/jb9tdf","Orrell T, Informatics and Data Science Center, Digital Stewardship Team (2025). NMNH Material Samples (USNM). Version 1.75. National Museum of Natural History, Smithsonian Institution. Occurrence dataset https://doi.org/10.15468/jb9tdf accessed via GBIF.org on 2025-03-11.","Creative Commons Zero (CC0)","For more information: https://collections.ala.org.au/public/show/dr30648","","","","2"
"dr30642","MVZ Herp Collection (Arctos)","10.15468/pi1mts","Spencer C (2024). MVZ Herp Collection (Arctos). Version 36.92. Museum of Vertebrate Zoology. Occurrence dataset https://doi.org/10.15468/pi1mts accessed via GBIF.org on 2025-03-11.","Creative Commons Zero (CC0)","For more information: https://collections.ala.org.au/public/show/dr30642","","","","5"
"dr30006","CAS Herpetology (HERP)","10.15468/bvoyqy","Scheinberg L, Fong J (2025). CAS Herpetology (HERP). Version 33.161. California Academy of Sciences. Occurrence dataset https://doi.org/10.15468/bvoyqy accessed via GBIF.org on 2025-02-12.","Creative Commons Zero (CC0)","For more information: https://collections.ala.org.au/public/show/dr30006","","","","26"
"dr30681","ZFMK Herpetology collection","10.15468/px1sya","Leibniz Institute for the Analysis of Biodiversity Change (LIB). ZFMK Herpetology collection. Occurrence dataset https://doi.org/10.15468/px1sya accessed via GBIF.org on 2025-03-11.","CC BY","For more information: https://collections.ala.org.au/public/show/dr30681","","","","6"
"in15","Queensland Museum","","Records provided by Queensland Museum, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in15","","","","116"
"dr1902","Earth Guardians Weekly Feed","10.15468/slqqt8","Records provided by Earth Guardians Weekly Feed, accessed through ALA website.","Creative Commons Attribution-Noncommercial (International) (CC-BY-NC 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr1902","","","","58"
"in17","Museum and Art Gallery of the Northern Territory","","Records provided by Museum and Art Gallery of the Northern Territory, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in17","","","","86"
"in16","Museums Victoria","","Records provided by Museums Victoria, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in16","","","","48"
"dr732","Northern Gulf Fauna Survey","10.15468/22edij","Data collected due to the support provided by the Australian Government's Natural Heritage Trust and Q2 Coasts and Country programme and supplied by Northern Gulf Resource Management Group Ltd www.northerngulf.com.au","CC-BY-NC","For more information: https://collections.ala.org.au/public/show/dr732","","","","29"
"dr658","European Molecular Biology Laboratory Australian Mirror","10.15468/ypsvix","EMBL Australian Mirror, European Bioinformatics Institute,  http://www.ebi.edu.au/","CC-BY-Int The public databases of the EBI are freely available by any individual and for any purpose.  For details see http://www.ebi.ac.uk/Information/termsofuse.html","For more information: https://collections.ala.org.au/public/show/dr658","","","","7"
"co16","Australian National Wildlife Collection","","Records provided by Australian National Wildlife Collection, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co16","","","","38"
"dp34","Department of Planning, Industry and Environment representing the State of New South Wales","","Records provided by Department of Planning, Industry and Environment representing the State of New South Wales, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp34","","","","8"
"dp30","Northern Territory Department of Environment and Natural Resources","","Records provided by Northern Territory Department of Environment and Natural Resources, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp30","","","","1324"
"dr22510","Observation.org, Nature data from around the World","10.15468/5nilie","Observation.org (2024). Observation.org, Nature data from around the World. Occurrence dataset https://doi.org/10.15468/5nilie accessed via GBIF.org on 2024-12-19.","CC BY-NC","For more information: https://collections.ala.org.au/public/show/dr22510","","","","11"
"dr25075","University of Canberra - Wildlife Genetics Database","10.15468/j8zv27","Records provided by University of Canberra - Wildlife Genetics Database, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr25075","","","","1"
"dr30618","CUMV Amphibian and Reptile Collection","10.15468/emivh3","Dillman C (2018). CUMV Amphibian and Reptile Collection. Version 25.18. Cornell University Museum of Vertebrates. Occurrence dataset https://doi.org/10.15468/emivh3 accessed via GBIF.org on 2025-03-11.","Creative Commons Zero (CC0)","For more information: https://collections.ala.org.au/public/show/dr30618","","","","2"
"dr368","NSW BioNet Atlas","10.15468/14jd9g","BioNet Species Sightings occurrence data held by the NSW Office of Environment and Heritage (OEH).   The BioNet repository holds data from a number of sources and custodians. (Accessed through ALA Data Portal,<Date of Access>).","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr368","","","","8"
"dr30179","UMNH Reptiles and Amphibians Collection (Arctos)","10.15468/peenzw","Rickart E, Derieg K (2025). UMNH Reptiles and Amphibians Collection (Arctos). Version 2.85. Natural History Museum of Utah (UMNH). Occurrence dataset https://doi.org/10.15468/peenzw accessed via GBIF.org on 2025-02-14.","Creative Commons Zero (CC0)","For more information: https://collections.ala.org.au/public/show/dr30179","","","","1"
"dr361","Fauna Atlas N.T.","10.15468/eeg0zb","Data supplied by Dept. Natural Resources, Environment, The Arts and Sport. Northern Territory of Australia","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au)) Data supplied is licensed under the Creative Commons Attribution 3.0 Australia License.","For more information: https://collections.ala.org.au/public/show/dr361","","","","1324"
"dr364","ALA species sightings and OzAtlas","10.15468/jayxmn","Individual sighting: Atlas of Living Australia (2025) Individual sighting dataset
Test sighting: Atlas of Living Australia (2025) Test sighting dataset
","CC-BY","For more information: https://collections.ala.org.au/public/show/dr364","","","","22"
"dr30012","LACM Vertebrate Collection","10.15468/77rmwd","Mertz W, Ludt W, Clardy T, Robson S, Suh Y H, Camacho N (2024). LACM Vertebrate Collection. Version 18.15. Natural History Museum of Los Angeles County. Occurrence dataset https://doi.org/10.15468/77rmwd accessed via GBIF.org on 2025-02-12.","Creative Commons Zero (CC0)","For more information: https://collections.ala.org.au/public/show/dr30012","","","","2"
"dp38","European Molecular Biology Laboratory Australia","","Records provided by European Molecular Biology Laboratory Australia, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp38","","","","7"
"co166","South Australian Museum Australian Biological Tissue Collection","","Records provided by South Australian Museum Australian Biological Tissue Collection, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co166","","","","29"
"co122","Western Australian Museum Herpetology Collection","","Records provided by Western Australian Museum Herpetology Collection, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co122","","","","62"
"dp20","OZCAM (Online Zoological Collections of Australian Museums) Provider","","Records provided by OZCAM (Online Zoological Collections of Australian Museums) Provider, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp20","","","","561"
"co125","South Australian Museum Herpetology Collection","","Records provided by South Australian Museum Herpetology Collection, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co125","","","","44"
"dr29999","AMNH Herpetology Collections","10.15468/jfkgyh","Dickey D (2016). AMNH Herpetology Collections. American Museum of Natural History. Occurrence dataset https://doi.org/10.15468/jfkgyh accessed via GBIF.org on 2025-02-12.","Creative Commons Zero (CC0)","For more information: https://collections.ala.org.au/public/show/dr29999","","","","7"
"in34","Western Australian Museum","","Records provided by Western Australian Museum, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in34","","","","62"
"dr30021","RBINS DaRWIN","10.15468/qxy4mc","Pauwels O, Samyn Y, Vandenberghe T (2021). RBINS DaRWIN. Royal Belgian Institute of Natural Sciences. Occurrence dataset https://doi.org/10.15468/qxy4mc accessed via GBIF.org on 2025-02-12.","CC BY-NC","For more information: https://collections.ala.org.au/public/show/dr30021","","","","2"
"dr19123","NatureMapr","10.15468/uye32x","Records provided by NatureMapr, accessed through ALA website.","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au)) Creative Commons Attribution 3.0 (Australia)","For more information: https://collections.ala.org.au/public/show/dr19123","","","","1"
"dr30185","University of Michigan Museum of Zoology, Division of Reptiles & Amphibians","10.15468/g3bard","UMMZ Reptiles & Amphibians Data Group, LSA IT A (2025). University of Michigan Museum of Zoology, Division of Reptiles & Amphibians. Version 7.78. University of Michigan Museum of Zoology. Occurrence dataset https://doi.org/10.15468/g3bard accessed via GBIF.org on 2025-02-14.","CC BY","For more information: https://collections.ala.org.au/public/show/dr30185","","","","7"
